id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
907;Teatro de marionetas: La Princesa Valiente y su amigo Vicente;DemoEM;907;Programa Salmerón para niños. A cargo de la compañía Marimba Marionetas. Luciente imagina que es una princesa valiente que salva su reino de una bruja repelente. Luciente es valiente, decidida y posee una rica imaginación. Vicente, su compañero;;-3.6762309620097398;40.44810636195716;2021-11-21T18:00:00.0Z;2021-11-21T23:59:00.0Z;Leisure;CursosTalleres
908;Teatro TIP: 'Tino';DemoEM;908;;;-3.587638001688095;40.45531140556268;2021-11-28T12:30:00.0Z;2021-11-28T23:59:00.0Z;Leisure;TeatroPerformance
909;Teatros de Cine;DemoEM;909;;;-3.720088245008897;40.39786734087938;2021-10-04T00:00:00.0Z;2022-02-25T23:59:00.0Z;Leisure;Exposiciones
910;Teatro-encuentro: 'Dibujando Miradas';DemoEM;910;;;-3.7098591212735883;40.41410290844665;2021-11-17T18:00:00.0Z;2021-11-17T23:59:00.0Z;Leisure;TeatroPerformance
911;Teatro: Rosa también es un nombre;DemoEM;911;;;-3.6762309620097398;40.44810636195716;2021-11-11T19:00:00.0Z;2021-11-11T23:59:00.0Z;Leisure;None
912;Teatro: `Brigitte´;DemoEM;912;;;-3.6940501846610894;40.35639654251886;2021-11-19T19:00:00.0Z;2021-11-19T23:59:00.0Z;Leisure;TeatroPerformance
913;Tejedoras de palabras;DemoEM;913;;;-3.710212677306876;40.36902428128397;2021-11-03T17:00:00.0Z;2021-11-10T23:59:00.0Z;Leisure;CursosTalleres
914;Tejiendo el latido de las mariposas. A cargo de Lina Mesa;DemoEM;914;Generar un espacio de encuentro en el cual las participantes partiendo desde cero puedan aprender a tejer mariposas. Tejer a ganchillo con el fin de concienciar, vinculadas al proyecto de Itziar Prats e Isabel Gallardo, las creadoras de 'El lat;;-3.6501714580414126;40.46155641637237;2021-11-02T16:30:00.0Z;2021-11-23T23:59:00.0Z;Leisure;CursosTalleres
915;Telaraña;DemoEM;915;;;-3.692206111679657;40.419011767401095;2020-12-15T00:00:00.0Z;2022-01-01T23:59:00.0Z;Leisure;CursosTalleres
916;Temporalidad'. 'Diálogos. Cómo dar voz a los personajes;DemoEM;916;;;-3.6933504628706095;40.48106787416528;2021-11-22T17:00:00.0Z;2021-11-22T23:59:00.0Z;Leisure;CursosTalleres
917;Temporalidad'. 'Diálogos. Cómo dar voz a los personajes;DemoEM;917;;;-3.6933504628706095;40.48106787416528;2021-11-15T17:00:00.0Z;2021-11-15T23:59:00.0Z;Leisure;CursosTalleres
918;Terrores contemporáneos: los miedos desmesurados;DemoEM;918;;;-3.710182353581842;40.42802889001877;2022-01-25T19:30:00.0Z;2022-01-25T23:59:00.0Z;Leisure;ConferenciasColoquios
